"Rilevazione";"GiornoOra";"Nomecomune";"Sezione";"Elettorimaschi";"Votantimaschi";"Votantimaschi1";"Elettorifemmine";"Votantifemmine";"Votantifemmine1";"Elettori";"Votanti";"Votanti1";"ZeroVotanti"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"46";"444";"291";"65,54";"463";"319";"68,9";"907";"610";"67,25";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"47";"421";"308";"73,16";"432";"305";"70,6";"853";"613";"71,86";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"48";"502";"358";"71,31";"511";"354";"69,28";"1013";"712";"70,29";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"49";"403";"290";"71,96";"421";"299";"71,02";"824";"589";"71,48";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"50";"406";"290";"71,43";"364";"258";"70,88";"770";"548";"71,17";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"51";"328";"226";"68,9";"308";"217";"70,45";"636";"443";"69,65";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"52";"346";"250";"72,25";"313";"226";"72,2";"659";"476";"72,23";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"53";"339";"246";"72,57";"342";"236";"69,01";"681";"482";"70,78";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"54";"365";"238";"65,21";"399";"278";"69,67";"764";"516";"67,54";"N"
"Rilevazione Senato";"DOMENICA 23:00";"CUNEO";"55";"0";"11";"0,0";"0";"19";"0,0";"0";"30";"0,0";"N"
